# ModernWpf v1 public resource-key contract (shipped).
# Format: project-relative XAML path|literal top-level x:Key
# Template parts, visual states, implicit/type keys, and unlisted keys are not contracted.
DensityStyles/Compact.xaml|ComboBoxEditableTextPadding
DensityStyles/Compact.xaml|ComboBoxMinHeight
DensityStyles/Compact.xaml|ComboBoxPadding
DensityStyles/Compact.xaml|ContentControlFontSize
DensityStyles/Compact.xaml|ControlContentThemeFontSize
DensityStyles/Compact.xaml|DataGridRowMinHeight
DensityStyles/Compact.xaml|DatePickerFlyoutPresenterAcceptDismissHostGridHeight
DensityStyles/Compact.xaml|DatePickerFlyoutPresenterHighlightHeight
DensityStyles/Compact.xaml|DatePickerFlyoutPresenterItemHeight
DensityStyles/Compact.xaml|DatePickerFlyoutPresenterItemPadding
DensityStyles/Compact.xaml|DatePickerFlyoutPresenterMonthPadding
DensityStyles/Compact.xaml|DatePickerHostMonthPadding
DensityStyles/Compact.xaml|DatePickerHostPadding
DensityStyles/Compact.xaml|GridViewColumnHeaderMinHeight
DensityStyles/Compact.xaml|GridViewItemContainerMinHeight
DensityStyles/Compact.xaml|ListViewItemMinHeight
DensityStyles/Compact.xaml|NavigationViewItemOnLeftMinHeight
DensityStyles/Compact.xaml|TextControlThemeMinHeight
DensityStyles/Compact.xaml|TextControlThemePadding
DensityStyles/Compact.xaml|TimePickerFlyoutPresenterAcceptDismissHostGridHeight
DensityStyles/Compact.xaml|TimePickerFlyoutPresenterHighlightHeight
DensityStyles/Compact.xaml|TimePickerFlyoutPresenterItemHeight
DensityStyles/Compact.xaml|TimePickerFlyoutPresenterItemPadding
DensityStyles/Compact.xaml|TimePickerHostPadding
DensityStyles/Compact.xaml|TimePickerPopupVerticalOffset
DensityStyles/Compact.xaml|TreeViewItemMinHeight
DensityStyles/Compact.xaml|TreeViewItemMultiSelectCheckBoxMinHeight
DensityStyles/Compact.xaml|TreeViewItemPresenterMargin
DensityStyles/Compact.xaml|TreeViewItemPresenterPadding
ModernWpfControlsResources.xaml|CaptionControlThemeFontFamily
ModernWpfControlsResources.xaml|CommandBarMoreButtonIconData
ModernWpfControlsResources.xaml|ContentControlFontSize
ModernWpfControlsResources.xaml|ContentControlThemeFontFamily
ModernWpfControlsResources.xaml|ControlContentThemeFontSize
ModernWpfControlsResources.xaml|DataGridTextControlValidationErrorTemplate
ModernWpfControlsResources.xaml|GridViewItemMinHeight
ModernWpfControlsResources.xaml|GridViewItemMinWidth
ModernWpfControlsResources.xaml|ListViewItemMinHeight
ModernWpfControlsResources.xaml|ListViewItemMinWidth
ModernWpfControlsResources.xaml|MenuFlyoutItemChevronMargin
ModernWpfControlsResources.xaml|MenuFlyoutItemDoublePlaceholderThemeThickness
ModernWpfControlsResources.xaml|MenuFlyoutItemMargin
ModernWpfControlsResources.xaml|MenuFlyoutItemPlaceholderThemeThickness
ModernWpfControlsResources.xaml|MenuFlyoutItemThemePadding
ModernWpfControlsResources.xaml|MenuFlyoutItemThemePaddingNarrow
ModernWpfControlsResources.xaml|MenuFlyoutPresenterThemePadding
ModernWpfControlsResources.xaml|MenuFlyoutSeparatorHeight
ModernWpfControlsResources.xaml|MenuFlyoutSeparatorThemePadding
ModernWpfControlsResources.xaml|MenuFlyoutThemeMinHeight
ModernWpfControlsResources.xaml|NumberBoxIconMargin
ModernWpfControlsResources.xaml|NumberBoxMinWidth
ModernWpfControlsResources.xaml|NumberBoxPopupHorizonalOffset
